@relation sg2$data

@attribute regioncentroidcol numeric
@attribute regioncentroidrow numeric
@attribute regionpixelcount numeric
@attribute shortlinedensity5 numeric
@attribute shortlinedensity2 numeric
@attribute vedgemean numeric
@attribute vegdesd numeric
@attribute hedgemean numeric
@attribute hedgesd numeric
@attribute intensitymean numeric
@attribute rawredmean numeric
@attribute rawbluemean numeric
@attribute rawgreenmean numeric
@attribute exredmean numeric
@attribute exbluemean numeric
@attribute exgreenmean numeric
@attribute valuemean numeric
@attribute saturationmean numeric
@attribute huemean numeric
@attribute class {brickface,sky,foliage,cement,window,path,grass}

@data
218,178,9,0111111,0,0833333,0547722,111111,0544331,596296,524444,752222,512222,-215556,467778,-252222,752222,0318996,-204055,path
113,130,9,0,0,0277778,0250924,0333333,0365148,0888889,0,255556,0111111,-266667,5,-233333,255556,1,-212325,foliage
202,41,9,0,0,0944448,0772202,111111,10256,123037,111889,139778,117444,-334444,502222,-167778,139778,0199347,-229992,sky
32,173,9,0,0,172222,178159,9,674949,435926,395556,528889,383333,-121111,278889,-157778,528889,0266914,-199886,path
61,197,9,0,0,144444,151535,261111,192546,495926,442222,615556,43,-161111,358889,-197778,615556,0302925,-202227,path
149,185,9,0,0,155556,106805,305556,192546,493333,453333,595556,431111,-12,306667,-186667,595556,0275889,-195277,path
197,229,9,0,0,138889,157407,116667,0566666,177407,141111,178889,212222,-108889,0444444,104444,212222,0335717,26516,grass
29,111,9,0,0,0388889,0240741,0611111,0151852,540741,688889,633333,3,444444,277778,-722222,688889,0564153,-0897859,brickface
1,81,9,0,0,121667,267456,922222,205363,213333,14,305556,194444,-22,276667,-566667,305556,0595282,-243841,foliage
69,85,9,0111111,0,311111,820741,394444,944074,214444,204444,281111,157778,-3,20,-17,281111,0437404,-165988,brickface
152,83,9,0,0,444444,132777,0944444,0680414,265185,233333,332222,23,-955556,201111,-105556,332222,0307415,-206324,cement
248,153,9,0,0,0277778,0062963,0111111,00296296,037037,0,111111,0,-111111,222222,-111111,111111,0888889,-20944,window
137,141,9,0,0,00555556,0136083,00555556,0136083,0037037,0,0111111,0,-0111111,0222222,-0111111,0111111,0111111,-20944,window
86,197,9,0111111,0111111,161111,145169,127778,110386,632222,562222,777778,556667,-21,436667,-226667,777778,0285333,-206802,path
220,220,9,0111111,0,227778,112963,227778,415185,644444,566667,533333,833333,-233333,-333333,566667,833333,0427354,198437,grass
207,115,9,0,0,105556,032963,0166667,00333333,122222,0444444,288889,0333333,-233333,5,-266667,288889,0933333,-206554,window
6,51,9,0,0,166667,2,161111,210741,195926,187778,256667,143333,-244444,182222,-157778,256667,0442861,-168129,brickface
203,182,9,0,0,372222,257696,361111,170511,549259,494444,681111,472222,-164444,395556,-231111,681111,0306722,-198035,path
243,120,9,0,0,444444,435975,155555,183384,478519,447778,563333,424444,-922222,254444,-162222,563333,0245321,-191073,cement
146,97,9,0,0,101111,45979,0611111,0574133,47963,46,543333,435556,-588889,191111,-132222,543333,0197115,-184074,cement
184,145,9,0,0,0722222,0611616,0222222,0272166,0555556,0333333,122222,0111111,-0666667,2,-133333,122222,0527778,-192094,window
178,128,9,0,0,0444444,0340741,0888889,0207407,592593,788889,644444,344444,588889,155556,-744444,788889,0563713,-07213,brickface
132,134,9,0,0,266667,315556,15,154444,618518,222222,114444,488889,-118889,157778,-388889,114444,0833935,-238661,foliage
83,28,9,0,0,0388889,0136081,0888887,0455421,112963,994444,131111,108333,-405556,544444,-138889,131111,0241511,-238788,sky
126,237,9,0,0,0944444,0240741,1,0488889,577778,422222,422222,888889,-466667,-466667,933333,888889,0553812,209723,grass
225,58,9,0,0,0333334,0421637,0444445,0344265,833333,555556,141111,533333,-833333,173333,-9,141111,0622222,-206856,window
14,120,9,0,0,0333333,0133333,0444444,0296296,159259,0,388889,0888889,-477778,688889,-211111,388889,1,-231572,foliage
5,210,9,0,0111111,216667,167,444444,261336,512963,454444,643333,441111,-175556,391111,-215556,643333,0317566,-20209,path
79,62,9,0,0,0555556,0385184,0888887,0607405,110185,100667,127111,102778,-285556,507778,-222222,127111,0208013,-217815,sky
18,83,9,0,0111111,616667,998889,128889,287852,143704,9,226667,114444,-161111,248889,-877778,226667,0664785,-227421,foliage
214,246,9,0,0,283333,191775,3,198886,175185,142222,154444,228889,-988889,-622222,161111,228889,0391548,223285,grass
94,140,9,0,0,0166667,00333333,0333333,00444444,303704,177778,611111,122222,-377778,922222,-544444,611111,0797884,-198577,window
54,142,9,0,0,0722222,0827759,2,210818,181481,0888889,366667,0888889,-277778,555556,-277778,366667,0769444,-20944,window
107,146,9,0,0,188889,100741,211111,131852,213704,167778,296667,176667,-137778,248889,-111111,296667,0432786,-216497,cement
93,236,9,0111111,0,177778,26963,2,0933333,125185,955556,107778,172222,-888889,-522222,141111,172222,0447247,22672,grass
245,249,9,0,0,2,128889,15,0611111,147407,107778,153333,181111,-118889,177778,101111,181111,0406212,274356,grass
48,173,9,0,0,116667,106979,144444,164204,192222,164444,164444,247778,-833333,-833333,166667,247778,0349656,209956,grass
239,122,9,0,0,0277778,00629629,0333333,0177778,555556,7,666667,3,433333,333333,-766667,722222,0581349,-0953435,brickface
184,145,9,0,0,0944445,0490654,177778,0934919,340741,233333,577778,211111,-322222,711111,-388889,577778,0656614,-203651,window
109,146,9,0,0,00555556,0136083,00555556,0136083,0037037,0,0111111,0,-0111111,0222222,-0111111,0111111,0111111,-20944,foliage
111,246,9,0,0,316667,209497,583333,411366,258889,211111,224444,341111,-143333,-103333,246667,341111,0388973,221401,grass
155,40,9,0,0,188889,207275,00555555,0136083,125926,122222,155556,1,-0111111,0888889,-0777778,155556,0116667,-15708,window
192,157,9,0,0,105556,0507408,0777778,0162963,183333,138889,172222,238889,-133333,-333333,166667,238889,0418184,243862,grass
209,249,9,0,0,244444,362963,277778,420741,105185,755556,811111,158889,-888889,-722222,161111,158889,0533307,215678,grass
118,125,9,0,0,0333333,0298142,0888889,0344265,114815,0,311111,0333333,-344444,588889,-244444,311111,1,-217565,foliage
43,152,9,0,0,194444,170741,122222,082963,151852,1,288889,0666667,-155556,411111,-255556,288889,0648677,-193324,window
247,92,9,0,0,0888889,0518518,0444444,0118519,120741,755556,205556,811111,-135556,254444,-118889,205556,0632127,-213785,window
63,201,9,0,0,211111,173419,25,165664,616296,548889,764444,535556,-202222,444444,-242222,764444,0299213,-203412,path
33,117,9,0,0,0277778,00185185,0111111,00296296,107407,0,311111,0111111,-322222,611111,-288889,311111,1,-213264,foliage
118,85,9,0,0,327778,441852,227778,681852,818519,355556,148889,611111,-138889,201111,-622222,148889,0774121,-232909,foliage
121,60,9,0,0,227778,232963,288889,287407,267407,246667,352222,203333,-622222,254444,-192222,352222,04223,-177611,brickface
218,115,9,0,0,0944444,0534027,0388889,0389682,22963,194444,294444,20,-105556,194444,-888889,294444,0339149,-214867,window
209,11,9,0,0,0833333,0255559,216667,385555,141556,135111,150111,139444,-193333,256667,-633333,150111,00998358,-240159,sky
55,209,9,0111111,0,183333,129529,138889,0998146,125185,103333,103333,168889,-655556,-655556,131111,168889,0407904,209922,grass
50,199,9,0,0,322222,297894,561111,461599,556667,491111,697778,481111,-196667,423333,-226667,697778,0312414,-204543,path
160,41,9,0,0,0833333,0809664,0222222,0172133,0703704,0555556,122222,0333333,-0444444,155556,-111111,122222,0537037,-184512,window
142,140,9,0,0,422222,129386,15,0722649,264444,234444,323333,235556,-9,176667,-866667,323333,02851,-210049,cement
9,94,9,0,0,0611111,0551852,1,0666664,113185,106889,127556,105111,-188889,431111,-242222,127556,0176789,-201531,sky
108,146,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,foliage
56,107,9,0,0,111111,0207407,472222,201963,498148,462222,583333,448889,-107778,255556,-147778,583333,0230455,-199144,cement
54,176,9,0,0,211111,0688531,266667,269155,506667,46,626667,433333,-14,36,-22,626667,0308573,-195141,path
41,103,9,0,0,244445,30963,177778,149629,612593,56,734444,543333,-157778,365556,-207778,734444,0259607,-200292,cement
67,136,9,0,0,672222,370835,266667,319722,155185,9,253333,122222,-195556,294444,-988889,253333,0660813,-230751,foliage
249,58,9,0,0,133333,0942809,0277778,0327731,885185,6,145556,6,-855556,171111,-855556,145556,0607768,-208534,window
90,101,9,0111111,0,0888889,0385185,172222,188519,200741,203333,25,148889,0777778,147778,-155556,25,0404038,-152012,brickface
180,224,9,0,0,372222,370741,361111,561852,151852,116667,133333,205556,-105556,-555556,161111,205556,0443375,229826,grass
96,13,9,0,0,0833331,047778,0555557,0207406,131778,122111,144778,128444,-29,39,-10,144778,0156568,-238625,sky
112,90,9,0,0,738889,694556,127778,0879814,651852,576667,797778,581111,-225556,437778,-212222,797778,0278345,-210881,cement
215,182,9,0,0,255556,14707,272222,198233,541852,485556,672222,467778,-168889,391111,-222222,672222,030405,-200408,path
225,58,9,0,0,0333334,0421637,0444445,0344265,833333,555556,141111,533333,-833333,173333,-9,141111,0622222,-206856,window
88,89,9,0,0,0777777,0385185,366667,404444,223333,216667,284444,168889,-2,183333,-163333,284444,0403687,-162559,brickface
91,120,9,0,0,138889,0928958,0611111,0772202,168519,112222,257778,135556,-168889,267778,-988889,257778,0562158,-223082,foliage
57,42,9,0,0,233333,0869226,0999999,0699206,374444,327778,477778,317778,-14,31,-17,477778,0334662,-202955,cement
211,130,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,window
37,120,9,0,0,0833333,0344444,105556,0462963,192593,0222222,444444,111111,-511111,755556,-244444,444444,0962963,-229808,foliage
54,140,9,0111111,0,0722222,0443053,177778,104704,833333,377778,14,722222,-136667,17,-333333,14,073447,-244232,foliage
194,72,9,0,0,1,0399998,116667,114444,934444,792222,117111,84,-426667,71,-283333,117111,0323421,-222578,sky
86,88,9,0111111,0,205556,188518,172222,339629,211481,214444,263333,156667,0888889,155556,-164444,263333,0405118,-151256,brickface
