@relation 'AGR_abrupt drift 4*2500 drifted function:1,3,5,7 generators.AgrawalGenerator -i 60 -p 0.1 -b'

@attribute salary numeric
@attribute commission numeric
@attribute age numeric
@attribute elevel {level0,level1,level2,level3,level4}
@attribute car {car1,car2,car3,car4,car5,car6,car7,car8,car9,car10,car11,car12,car13,car14,car15,car16,car17,car18,car19,car20}
@attribute zipcode {zipcode1,zipcode2,zipcode3,zipcode4,zipcode5,zipcode6,zipcode7,zipcode8,zipcode9}
@attribute hvalue numeric
@attribute hyears numeric
@attribute loan numeric
@attribute class {groupA,groupB}

@data

148668.26478728346,0.0,42.0,level2,car15,zipcode9,135000.0,9.0,361111.7197469063,groupB
140074.34624900002,0.0,60.0,level4,car2,zipcode7,135000.0,12.0,78773.64770647822,groupA
144284.1129553867,0.0,45.0,level2,car1,zipcode5,135000.0,9.0,182478.65365188086,groupB
37477.65013379142,62089.67320882814,59.0,level4,car10,zipcode9,93711.6531110915,14.0,246396.83771063562,groupA
23426.436437856446,75000.0,53.0,level1,car19,zipcode7,135000.0,29.0,117547.21325564606,groupB
62575.86272442525,23698.122504819337,27.0,level2,car6,zipcode7,135000.0,5.0,450153.58181832574,groupA
99509.16039908635,0.0,43.0,level3,car13,zipcode6,135000.0,25.0,423671.30306063645,groupB
20000.0,10000.0,73.0,level4,car14,zipcode7,135000.0,20.0,108679.38248314767,groupA
23576.881876582076,75000.0,54.0,level0,car7,zipcode1,135000.0,4.0,262090.68479584192,groupB
142827.96684714404,0.0,80.0,level3,car8,zipcode5,135000.0,10.0,3395.8616617336556,groupA
73238.08189131488,0.0,51.0,level3,car20,zipcode4,135000.0,24.0,421879.6315492399,groupB
57363.93085612815,24187.581084843176,35.0,level1,car20,zipcode5,135000.0,16.0,333401.42651565274,groupA
46678.712982771736,41512.444642906965,56.0,level3,car2,zipcode5,135000.0,28.0,265738.3177706572,groupB
67878.64307725933,22541.559889234526,77.0,level0,car14,zipcode6,135000.0,26.0,211921.4401858307,groupA
69648.3591051191,35836.44841078797,53.0,level3,car5,zipcode5,135000.0,7.0,366880.73203560663,groupB
87715.69319717768,0.0,32.0,level1,car10,zipcode5,135000.0,24.0,398953.50081718876,groupA
126694.7654547338,0.0,43.0,level4,car2,zipcode9,101599.14522243693,20.0,140206.69867344093,groupB
118642.79108015771,0.0,71.0,level2,car11,zipcode3,135000.0,28.0,401874.2299327062,groupA
98067.64943676625,0.0,55.0,level2,car3,zipcode6,135000.0,30.0,204873.76299243124,groupB
55704.32964644002,12338.592880678783,26.0,level2,car5,zipcode2,135000.0,10.0,217743.88779138357,groupA
75122.57908620784,0.0,39.0,level1,car6,zipcode7,135000.0,10.0,457395.7338406886,groupB
48660.8679718583,10523.593069340317,67.0,level1,car5,zipcode4,135000.0,5.0,462232.7517306146,groupA
34683.84793097991,11825.107316694786,41.0,level2,car14,zipcode1,135000.0,19.0,360513.53383980365,groupB
109706.19479900948,0.0,69.0,level0,car13,zipcode2,135000.0,4.0,101503.05980825635,groupA
62180.867624062616,17951.960705967525,54.0,level0,car17,zipcode9,117063.550545386,23.0,145240.92262959701,groupB
139969.8426022075,0.0,23.0,level4,car7,zipcode9,126660.92584682835,25.0,128627.23621854198,groupA
