@relation 'AGR_abrupt drift 4*2500 drifted function:1,3,5,7 generators.AgrawalGenerator -i 130 -p 0.1 -b'

@attribute salary numeric
@attribute commission numeric
@attribute age numeric
@attribute elevel {level0,level1,level2,level3,level4}
@attribute car {car1,car2,car3,car4,car5,car6,car7,car8,car9,car10,car11,car12,car13,car14,car15,car16,car17,car18,car19,car20}
@attribute zipcode {zipcode1,zipcode2,zipcode3,zipcode4,zipcode5,zipcode6,zipcode7,zipcode8,zipcode9}
@attribute hvalue numeric
@attribute hyears numeric
@attribute loan numeric
@attribute class {groupA,groupB}

@data

110247.02262990118,0.0,53.0,level3,car2,zipcode1,135000.0,11.0,500000.0,groupB
43771.10170416281,43818.88341066767,24.0,level4,car8,zipcode8,118597.8856807324,8.0,411548.8735666546,groupA
56719.04972026932,60497.57040898612,42.0,level4,car9,zipcode9,88326.95371353724,24.0,11572.211057992086,groupB
113228.55647126351,0.0,67.0,level2,car8,zipcode7,135000.0,12.0,274552.8194222613,groupA
105472.18644905725,0.0,57.0,level4,car17,zipcode2,135000.0,4.0,309318.5283360374,groupB
31937.941819193293,14951.650522912114,66.0,level4,car12,zipcode4,135000.0,18.0,373925.33432689594,groupA
83258.80953568057,46082.54610079823,53.0,level3,car5,zipcode9,121617.22658973832,18.0,318171.3955156177,groupB
117150.15680411778,0.0,36.0,level3,car19,zipcode2,135000.0,21.0,423075.3940179944,groupA
133075.50167901628,0.0,40.0,level1,car15,zipcode4,135000.0,29.0,500000.0,groupB
35149.06099469034,54728.388482899325,25.0,level3,car18,zipcode3,135000.0,30.0,421592.3341821596,groupA
115119.7142753134,0.0,42.0,level4,car19,zipcode6,135000.0,6.0,452786.7401498381,groupB
131720.62789720212,0.0,58.0,level1,car11,zipcode6,135000.0,27.0,294572.89623982,groupA
85962.2722939312,0.0,42.0,level3,car13,zipcode9,76124.44438311276,8.0,397501.1964052076,groupB
131958.83860276578,0.0,68.0,level1,car19,zipcode1,135000.0,25.0,455239.5574352912,groupA
117065.90326246593,0.0,50.0,level3,car8,zipcode2,135000.0,14.0,443447.0586972521,groupB
45672.26790878943,57191.109228949754,34.0,level1,car16,zipcode8,135000.0,17.0,163141.80268520664,groupA
87049.64282078226,0.0,53.0,level4,car4,zipcode4,135000.0,15.0,163392.27239609743,groupB
130377.51444756296,0.0,37.0,level0,car7,zipcode4,135000.0,3.0,130924.11693846642,groupA
67150.70900187257,24809.610810452665,44.0,level0,car10,zipcode7,135000.0,27.0,281964.79260679183,groupB
